"Region","Country","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"SDG: Sub-Saharan Africa","Eswatini","5.36","5.43","6.18","5.74","5.70","5.36","5.29","5.69","6.31"
"SDG: Sub-Saharan Africa","Ethiopia","5.15","5.06","5.50","5.22","4.48","4.09","4.07","3.74",""
"SDG: Sub-Saharan Africa","Gabon","2.82","2.67","3.56","3.07","2.87","3.40","2.70","2.21",""
"SDG: Sub-Saharan Africa","Gambia","2.16","2.02","2.46","2.37","2.65","2.89","2.94","2.73",""
"SDG: Sub-Saharan Africa","Ghana","4.43","4.39","3.53","3.89","3.15","3.41","3.42","2.90",""
"SDG: Sub-Saharan Africa","Guinea","2.52","2.54","2.32","2.38","1.86","2.43","2.04","1.99",""
"SDG: Sub-Saharan Africa","Kenya","4.74","4.90","4.96","5.11","","4.63","","",""
"SDG: Sub-Saharan Africa","Lesotho","8.69","7.80","8.16","7.28","7.19","7.00","7.51","6.43","6.69"
"SDG: Sub-Saharan Africa","Liberia","2.12","2.12","2.66","2.50","2.49","2.14","2.53","2.60","2.42"
"SDG: Sub-Saharan Africa","Madagascar","2.21","2.69","2.70","2.84","3.01","3.25","3.20","3.14",""
"SDG: Sub-Saharan Africa","Malawi","3.85","3.28","2.77","3.32","","","","",""
"SDG: Sub-Saharan Africa","Mali","3.80","3.09","3.79","3.56","3.56","3.95","4.36","4.04",""
"SDG: Sub-Saharan Africa","Mauritania","2.83","1.94","","","1.78","1.77","1.75","2.29",""
"SDG: Sub-Saharan Africa","Mauritius","4.76","4.88","4.88","4.67","4.54","4.35","4.67","4.84","3.64"
"SDG: Sub-Saharan Africa","Mozambique","6.01","5.87","5.51","5.45","6.29","6.64","7.03","",""
"SDG: Sub-Saharan Africa","Namibia","9.53","10.31","9.71","9.62","9.32","9.28","10.03","9.68","9.04"
"SDG: Sub-Saharan Africa","Niger","4.49","2.96","2.58","3.46","3.53","3.82","3.82","4.10",""
"SDG: Sub-Saharan Africa","Rwanda","3.65","3.43","3.12","3.07","3.24","3.33","5.59","4.75","4.14"
"SDG: Sub-Saharan Africa","Sao Tome and Principe","3.86","5.17","5.04","5.24","5.90","5.01","5.52","5.16",""
"SDG: Sub-Saharan Africa","Senegal","5.46","5.11","4.62","4.86","5.45","5.69","5.59","5.64",""
"SDG: Sub-Saharan Africa","Seychelles","5.06","4.32","4.24","4.04","4.05","4.89","5.62","4.74",""
"SDG: Sub-Saharan Africa","Sierra Leone","3.22","2.91","4.66","6.99","7.45","8.81","9.44","8.81",""
"SDG: Sub-Saharan Africa","Somalia","","","0.13","0.23","0.27","","","",""
"SDG: Sub-Saharan Africa","South Africa","5.48","5.44","5.60","5.64","5.93","6.18","6.56","6.18","6.60"
"SDG: Sub-Saharan Africa","South Sudan","1.47","","","","","","","",""
"SDG: Sub-Saharan Africa","Togo","3.76","3.69","3.76","4.09","4.20","4.09","4.23","3.80",""
"SDG: Sub-Saharan Africa","Uganda","2.32","2.14","2.25","2.13","2.31","2.57","2.64","2.56","2.55"
"SDG: Sub-Saharan Africa","United Republic of Tanzania","4.20","4.10","4.43","3.70","3.60","3.23","3.12","3.24","3.26"
"SDG: Sub-Saharan Africa","Zambia","4.62","3.75","3.73","4.74","4.42","3.95","3.11","3.58",""
"SDG: Sub-Saharan Africa","Zimbabwe","5.81","5.47","5.82","2.05","","","","",""
"Data for indicator ' Government expenditure on education as a percentage of GDP (%) '. Values '0' can be either NIL or NOT APPLICABLE for the submitting nation. Please download the METADATA for precision","","","","","","","","","",""
